time,Fx,Fy,Fz
3.72,2.19121986548474,-17.4294640614864,-196.637562727694
3.73,4.52456247504025,-19.1084468666789,-188.821614732641
3.74,2.82078768134063,-17.1460443122462,-149.766312989414
3.75,2.52276207515204,-18.2027355845852,-138.786009146575
3.76,3.5624830127518,-19.5249292481363,-134.988193685552
3.77,2.93627053482149,-19.8088411139473,-143.042880240169
3.78,2.80236194163698,-19.0332384241999,-154.135463431542
3.79,3.12386532705765,-19.3504565189077,-166.743796972975
3.8,2.76317853681594,-18.7875698576339,-178.379161222471
3.81,2.65837961738096,-19.2583069391039,-184.780457480819
3.82,2.86631147234336,-18.5648177668886,-183.201680645467
3.83,3.02539554946585,-18.5627757235878,-172.887213406241
3.84,2.91988992815413,-18.5761839004394,-162.364635201318
3.85,3.39741337591784,-18.6579052915205,-158.598892059433
3.86,2.67187864365931,-19.106430403639,-160.265125649103
3.87,2.79378034998874,-18.7697098869055,-167.392024736457
3.88,2.75685086288032,-18.917442960937,-175.214030014035
3.89,3.05078759141046,-18.6259944277146,-179.518600609
3.9,3.20320697078694,-18.4226812899969,-177.817770147105
3.91,3.03784971666138,-18.2423101318939,-172.10492190756
3.92,2.98615999862908,-18.5142101119397,-165.722055734023
3.93,2.70210343483762,-18.7167162318023,-163.53603440232
3.94,2.89549577875916,-18.709343826732,-165.32977951745
3.95,2.92622392573205,-18.920593386732,-169.942288403645
3.96,2.89378502888485,-18.4701772683655,-174.100865781573
3.97,3.08711323509638,-18.3675134165062,-175.971088732149
3.98,3.00960322436403,-18.3568477714236,-173.955870446134
3.99,2.93464456985769,-18.4418258253725,-170.160352895028
4,2.93267173878443,-18.4947779007876,-166.980322071143
4.01,2.91154760218574,-18.7371606218351,-166.453381171588
4.02,2.88951269451067,-18.7275861456417,-167.943697354319
4.03,2.93922691389271,-18.6693099638464,-170.777735416184
4.04,3.00085991894842,-18.4256536904427,-173.527908115914
4.05,2.93163959333168,-18.3161283040502,-174.034409655101
4.06,3.00666206798593,-18.4011743635354,-172.252557419286
4.07,2.92887117690055,-18.5418543778466,-169.614250220695
4.08,2.88523653626384,-18.6524817505473,-167.559036394815
4.09,2.93126250068882,-18.6728964752457,-167.522046468156
4.1,2.96068978943335,-18.6397154521787,-169.241190619384
4.11,2.94960292875657,-18.472229000065,-171.645616442322
4.12,2.98540750898659,-18.4237075809545,-173.20375909962
4.13,2.95341905595383,-18.4142581659723,-172.937368043351
4.14,2.9101795582312,-18.5090162792055,-171.115557676521
4.15,2.92680614803262,-18.6315694448812,-168.851806030097
4.16,2.96781801928876,-18.6168658347051,-167.846261567384
4.17,2.94417336282166,-18.561593772752,-168.647012867936
4.18,2.94341226889171,-18.5358581994197,-170.289660721576
4.19,2.94961569024908,-18.4908219493349,-172.190547229433
4.2,2.94462048108076,-18.4744835282605,-172.842147254774
4.21,2.92184916668092,-18.5061308845573,-171.893047892002
4.22,2.95128930148038,-18.5699832262471,-170.034340235372
4.23,2.95764361089883,-18.5486739905712,-168.581489057437
4.24,2.95591079692434,-18.544901424725,-168.417877617994
4.25,2.93538026132615,-18.5639226089954,-169.554348416051
4.26,2.93425316930829,-18.553600401098,-171.180577184839
4.27,2.92998100742509,-18.520998289526,-172.310229246303
4.28,2.94118683843262,-18.5260840000827,-172.240287452065
4.29,2.96078481908884,-18.4838941892877,-170.913161420144
4.3,2.96076607138044,-18.4918661749914,-169.432345692097
4.31,2.95136736001589,-18.5417698471376,-168.615388446468
4.32,2.92090006580209,-18.5966325014165,-169.07553311496
4.33,2.93068091504828,-18.6017395589855,-170.373303466337
4.34,2.9343707055844,-18.5605604766585,-171.681810632012
4.35,2.94627470133933,-18.5054498128532,-172.177858892089
4.36,2.97245847894285,-18.4426559667445,-171.509464090885
4.37,2.96532537483478,-18.4567847683705,-170.146970472874
