time,Fx,Fy,Fz,Mx,My,Mz
12.6,1.72783441235432,1163.98898280802,71.8453907324381,-56.0655210553949,8.7230964948763,12.1363508600196
12.61,-8.42693061236567,1179.77738123551,53.1600421372871,-55.4312602646211,8.75051457304061,10.9627716116303
12.62,-17.9398652902571,974.429640967061,54.5883653467568,-49.0404841288664,2.03994037615064,-1.37624283211302
12.63,-27.8829288783343,572.585416035871,88.2209812623772,-37.5161420883512,0.57147098226252,-6.59521586346247
12.64,-22.8986347632631,504.60349012564,53.3703585174218,-32.7169481582464,0.630842729146194,-6.57046288581751
12.65,-15.1193881136246,494.485295372786,36.7262653966438,-32.6172279763169,-0.352373716849578,-4.69042069435898
12.66,-11.1670940968344,441.313072991537,-19.0669265816031,-28.9383919753899,-1.01892234128115,-3.08911838446397
12.67,-13.3678993274473,440.392150532845,-20.3212882705022,-28.8425944110211,-0.856459783639867,-1.42589280466432
12.68,-7.90941146006292,386.09398252105,-38.7988309835173,-24.2587895303031,-0.0875165602622574,0.328378658520641
12.69,-13.1698179674363,336.958178509736,-68.8752745322439,-22.1484110735179,0.0194504961013977,2.44459125989953
12.7,-8.28935389015181,299.915217545782,-86.6415035808171,-20.4740116486887,0.409129972495204,3.96154201102823
12.71,-15.0311857242833,317.604793699543,-139.38200833607,-22.5832678421475,-0.735428979123935,4.05798275742574
12.72,-10.092502493006,380.695408409102,-184.007117976374,-26.1042359891576,-0.697256908063605,2.87478463780297
12.73,-8.72219411732786,424.353149493054,-229.352151817871,-25.3614867246023,-0.222288339437461,3.0425135058053
12.74,-5.05978810415861,428.050487762958,-274.335449488884,-21.6343486648522,0.0974981563550683,3.46010380345681
12.75,-3.13766629237536,475.79460603957,-265.666783080151,-24.5942416757097,-0.726093512098136,2.81699700067216
12.76,-2.55347124194508,556.217351285334,-258.741087337343,-30.9121505562025,-1.68157512113694,4.84985170856805
12.77,-4.18592896535121,599.52594751971,-251.751864014679,-32.1354802176842,-1.85743659705176,4.80646712942833
12.78,-5.37697669535368,610.161134514824,-269.858045469756,-30.5559799955618,-2.40254191345453,3.96406027847223
12.79,-9.6281214434767,529.499815081632,-248.165898818554,-23.4881049433551,-3.47077284575164,4.54145475969777
12.8,-5.85946528235527,464.188879662591,-97.7723539014242,-30.0189737129967,-4.84692265654145,4.52721113567618
12.81,-10.3066054151576,475.765592407053,-26.5311055342234,-35.133898750754,-4.54303769932053,6.02327946342684
12.82,-9.28704889173762,512.691040710559,-5.10761263619641,-37.0458327732326,-4.34314578971722,5.59126365928216
12.83,-3.3377464192665,525.915090223744,2.65793275314694,-36.9660065107682,-4.14084224677383,6.29312148059808
12.84,-1.83496031569215,561.912093668552,25.858023818721,-40.243130867763,-3.51815941096935,8.02400158174744
12.85,-5.68234911379816,603.395604296191,42.9066651694238,-43.343726917112,-2.91439524513955,8.56411941009997
12.86,-10.4917454044578,646.572105129531,69.0841086213362,-47.2717368465223,-3.71096558115259,8.04426315795156
12.87,-9.09091477311093,695.635476995527,100.418889212714,-50.7528855552617,-4.27903390648423,10.5450214973231
12.88,-9.13104844001782,757.064326679249,134.59211936736,-54.3590514848702,-3.00046558666469,9.44751369600382
12.89,-5.87082795796738,766.382835104628,110.763028119358,-51.1762282874027,0.952984033833673,4.79321777537932
12.9,-8.84243909115126,831.160646070578,153.712061187671,-57.016603720969,-1.51944755196269,3.53602219640417
12.91,-15.4159490565185,881.033457308279,171.414260007171,-59.0152852195283,-3.2274528555904,6.47191476181445
12.92,-21.9544725877381,912.650576760885,167.80917816162,-59.2711771901626,-2.97278429933137,9.39023317683034
12.93,-20.3860777071068,1018.13205923118,198.802701043738,-65.5737242746485,0.108913194632621,10.6744958753236
12.94,-11.7133098855497,1107.55290662664,257.281515680758,-75.5302414345574,0.27468924484858,10.6800992656529
12.95,-14.0793053989962,1271.01104326896,323.822659157674,-89.605863747881,0.414044447922539,9.48650334219845
12.96,-21.1352164634809,1214.60449364858,298.826903960758,-82.5820448769294,-0.787417219046007,12.7437181013707
12.97,-23.2093126799612,1208.89283603374,288.714482546724,-81.6909840203152,-1.77382935927348,13.9386128636556
12.98,-35.95900651774,1062.13578470315,287.006386851646,-76.3323118843542,-6.11389823758052,6.38579958555017
12.99,-36.3403632501712,999.553679180252,264.130742190064,-69.9443020668759,-7.65578701661721,8.62822130759623
13,-48.2304951149208,873.660409948716,196.059615248811,-58.957394146917,-8.51155150904448,10.906177742418
13.01,-66.196455532041,792.948901786367,222.682001793138,-54.6819701878381,-8.97325785085221,11.4360635884127
13.02,-54.4974670328098,717.004390358789,185.538499818231,-47.7729339620246,-6.86457566759371,7.08562600887962
13.03,-40.7868773284485,581.966478735786,134.010634370718,-39.1486368947441,-6.44579364653838,5.7159800301716
